Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,3.549894835,-1.698071867,1.888913379,6.821434035,10.56325321,14.86785151,15.35605989,14.15303855,11.31279938,,
Africa Eastern and Southern,AFE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,20.42777151,20.7566996,19.23286276,19.08367195,20.18658427,18.95480442,19.84507542,19.97318407,19.83010105,20.20734948,19.56716709
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,
Africa Western and Central,AFW,Gross savings (% of GDP),NY.GNS.ICTR.ZS,20.57059098,20.91022059,26.86909765,18.04740485,20.83193796,18.09329145,16.49070562,17.95257033,18.91958375,21.21936165,22.56483989
Angola,AGO,Gross savings (% of GDP),NY.GNS.ICTR.ZS,36.98734332,37.88854989,37.23299939,32.02988195,29.96672177,25.02132654,24.42924754,23.35194559,25.1731937,25.52484772,17.96732701
Albania,ALB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,19.96761992,20.54545578,19.62510367,17.74129421,15.92938749,16.8639814,17.04907325,16.52936416,16.54723338,14.4998255,11.07274265
Andorra,AND,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,
Arab World,ARB,Gross savings (% of GDP),NY.GNS.ICTR.ZS,35.89547486,41.09685445,39.62255283,37.8213929,34.7429132,25.5994673,25.49850928,28.5413076,31.42735329,30.85920653,
United Arab Emirates,ARE,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,
Argentina,ARG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,17.30528056,17.34843039,16.05516478,14.95436211,15.75200992,14.28730262,14.63637104,13.07666717,11.40516048,14.28529512,18.6167506
Armenia,ARM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,13.20076363,11.09572312,14.0967332,14.83671889,13.28125739,18.43038559,17.81446519,16.89533246,15.32610134,9.815573922,14.71852224
American Samoa,ASM,Gross savings (% of GDP),NY.GNS.ICTR.ZS,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,13.56885826,10.4193677,7.16092291,7.227049697,2.788276658,7.051264504,9.74883856,15.24942014,23.05620192,26.38342703,14.28915386
Australia,AUS,Gross savings (% of GDP),NY.GNS.ICTR.ZS,21.86889893,23.33656637,24.37723114,23.97698393,23.66896849,22.70271367,20.71906578,21.80423664,21.7391672,22.52853371,24.07252629
